RT @MaquinaDelAire: #Autopista Caracas - La Guaira con buena marcha para la hora en #AmbosSentidos 12:00pm,0
"RT @MaquinaDelAire: Cerrado el paso en la #Av Sucre de Catia, tomar vías alternas! 12:00pm",1
RT @MaquinaDelAire: Bajada de Tazón con buena marcha en #AmbasDirecciones para la hora 12:01pm,0
via @nadielaconoche:  Abren paso luego de 6hrs por protesta en La Fosforera - San Pedro de Los Altos - 11:40 am. #2F http://t.co/I0eyXPfmEM,1
via @teachtaek:  cola subiendo dsd la entrada de San Antonio hasta el km 18 #Miranda,1
RT @MaquinaDelAire: Parte baja de la #Av Libertador con buena marcha en #AmbosSentidos 12:19pm,0
RT @MaquinaDelAire: #Intercomunal Guarenas - Guatire con buena marcha para la hora 12:19pm,0
RT @MaquinaDelAire: #GMA con excelente marcha del #Dist Metropolitano a Guarenas 12:19pm,0
RT @MaquinaDelAire: #PNM entrando a San Antonio con #Cola para la hora 12:19pm,1
AFF de El Paraíso hacia Plaza Venezuela con buen desplazamiento hasta Jardín Botánico. 12:33 p. m.,1
Libre la intercomunal de El Valle. 12:22 p. m.,0
RT @FMCENTER: Sin inconvenientes la Av. Ppal de Macaracuay en ambas direcciones 12:30 #TrafficCenter,0
RT @FMCENTER: Despejada la autopista Valle-Coche del Dist. El Pulpo hasta Tazón 12:28 #TrafficCenter,0
RT @FMCENTER: Buena circulación la intercomunal de El Valle sentido La Bandera 12:27 #TrafficCenter,0
"Cota Mil con buen tránsito entre El Marqués y La Castellana, ambos sentidos. 12:32 p. m.",0
RT @TuSaludVascular: Sin inconvenientes la Av. Ppal de Macaracuay en ambas direcciones 12:30,0
RT @FMCENTER: Sin inconvenientes la Av. Río de Janeiro en ambos sentidos 12:39 #TrafficCenter,0
Cota Mil con buena marcha en todo el recorrido y en ambas direcciones. 12:46 p. m.,0
RT @FMCENTER: Despajada la autopista Prados del Este sentido centro 12:38 #TrafficCenter,0
RT @zona925fm: #TraficZona 12:49pm Sin inconvenientes la Av. Ppal de Macaracuay en ambas direcciones,0
@victoria1039fm (1:03 pm) &gt;&gt; Los tramos #Miranda y #Aragua sin contratiempos en ambos sentidos #InfoVial,0
No hay paso en la Av. Sucre de Catia hacia la Av. Urdaneta. 1:00 p. m.,1
RT @victoria1039fm: (1:06pm) &gt;&gt; @Juan_Idler: Intercomunal Valle-Coche con buena circulación. Retraso bajo el puente de coche por trabaj…,1
Intercomunal de El Valle con tránsito fluido. 1:03 p. m.,1
Av. Bolívar con buen tránsito en ambos sentidos. 1:02 p. m.,1
Av. México con buena circulación. 1:02 p. m.,0
Paseo Colón con buen desplazamiento en ambos sentidos. 1:01 p. m.,0
