#ELECTRICISTA A continuación el link para llenar el formulario del viaje al Guri  https://t.co/Mhvp9Fl2gj,0,0,,
RT @VivaLaUCV: Protestan por inseguridad,0,0,,
Hallan muerto al estudiante Julio Ávila (24) acuchillado dentro de la UNEXPO en Caracas http://t.c…,0,0,,
RT @MaquinaDelAire: #Autopista Caracas - La Guaira con buena marcha para la hora en #AmbosSentidos 12:00pm,1,0,0,
"RT @MaquinaDelAire: Cerrado el paso en la #Av Sucre de Catia, tomar vías alternas! 12:00pm",1,1,2,
¿Desde hace cuánto no te comes un buen postre? Ven este viernes a la sala y consíguelos al mejor precio. http://t.co/6XHaK5Ve7a,0,0,,
A las 12:00 Pronóstico: Aumento de nubes y más caliente. Posible precipitación en las próximas 12 a 24 horas. Viento.,0,0,,
"A las 12:00 Temperatura: 22.7 °C, Pluviosidad: 0.0 mm/h, Lluvia del día: 0.0 mm, Presión: 1021.7 mb ↓",0,0,,
RT @carmenbeat: Tras 15 años de pugnas revolucionarias hoy somos más pobres que en 1998 http://t.co/QBTTlllaoK,0,0,,
Entérate de la #MovidaCultural de nuestra #USBve todos los eventos de esta semana en http://t.co/IeWxgs0YrC,0,0,,
"RT @pedroluisflores: Directivos de Farmatodo presos en el Sebin, Farmatodo expropiada, un estudiante de la Unexpo muerto a puñaladas dentro…",0,0,,
RT @MaquinaDelAire: Bajada de Tazón con buena marcha en #AmbasDirecciones para la hora 12:01pm,1,0,0,
RT @eluniweb: #USB Planchart rechaza la pretensión del CNU de administrar la totalidad de los cupos de las universidades http://t.co/AGWvDy…,0,0,,
via @nadielaconoche:  Abren paso luego de 6hrs por protesta en La Fosforera - San Pedro de Los Altos - 11:40 am. #2F http://t.co/I0eyXPfmEM,1,0,1,
via @teachtaek:  cola subiendo dsd la entrada de San Antonio hasta el km 18 #Miranda,1,1,2,
Sinfónica Juvenil Inocente Carreño interpretará obras de Dmitri Sostakóvich y Jean Carlos Castro en la #USBve http://t.co/cZYSIK724O,0,0,,
III Congreso Latinoamericano de Estudiantes de Química (CONLEQ): https://t.co/HXQnBCXXgF,0,0,,
"via @nadielaconoche:  Cuántos Gerentes de Red de Bicentenario Han Sido Detenidos X Inmensas COLAS http://t.co/2iWNtQkfq3"" #PrioridadTránsito",0,0,,
via @EdifHumboldt: .: Cuántos Gerentes de Red de Bicentenario Han Sido Detenidos X Inmensas COLAS http://t.co/IKMERZAAkH #PrioridadTránsito,0,0,,
"via @femv2010:  @nadielaconoche Dios hasta donde llegaremos , pero ahora no podemos protestar #DiosProveera #PrioridadTránsito",0,0,,
"Hoy en #ControversialesACUSB estaremos hablando de las prótesis, ven y participa nos vemos en 3er piso CBII a las 12:30",0,0,,
"#Tipstraffic Evite: Contenido ofensivo, agresivo, lenguaje soez, procaz, así como atentar contra las leyes, la moral y las buenas costumbres",0,0,,
"via @coachlab0753:  @EdifHumboldt Aplican ley del embudo,lo anchote para ellos y lo delgadito para los demás...... #PrioridadTránsito",0,0,,
RT @MaquinaDelAire: Parte baja de la #Av Libertador con buena marcha en #AmbosSentidos 12:19pm,1,0,0,
RT @MaquinaDelAire: #Intercomunal Guarenas - Guatire con buena marcha para la hora 12:19pm,1,0,0,
RT @MaquinaDelAire: #GMA con excelente marcha del #Dist Metropolitano a Guarenas 12:19pm,1,0,0,
RT @MaquinaDelAire: #PNM entrando a San Antonio con #Cola para la hora 12:19pm,1,1,1,
AFF de El Paraíso hacia Plaza Venezuela con buen desplazamiento hasta Jardín Botánico. 12:33 p. m.,1,0,1,
"via @jmarin100969: ""  @nadielaconoche Cuántos Gerentes de Red de Bicentenario Han Sido Detenidos X largas colas?  @trafficPUERTO #Miranda",0,0,,
Libre la intercomunal de El Valle. 12:22 p. m.,1,0,0,
via @nadielaconoche:  El cadáver hallado en la UNEXPO corresponde a un estudiante que se encontraba desaparecido dsd http://t.co/zWTSF8oa49,0,0,,
via @nhaudydelc:  @ALEJO2345 @Anmuny pq crees que autorizaron usar armas mortales para reprimir las marchas son asesinos #PrioridadTránsito,0,0,,
"¿Olvidaste tu cartuchera en casa y no tienes como escribir tu clase? En tu @ProveUSB puedes comprar lápiz, borra y sacapuntas!",0,0,,
¡Diviértete con la música humorística que traen para ti Los Hermanos Naturales a la #USBve! Domingo 22 de febrero http://t.co/Neq50DP8I9,0,0,,
RT @FMCENTER: Sin inconvenientes la Av. Ppal de Macaracuay en ambas direcciones 12:30 #TrafficCenter,1,0,0,
RT @FMCENTER: Despejada la autopista Valle-Coche del Dist. El Pulpo hasta Tazón 12:28 #TrafficCenter,1,0,0,
RT @FMCENTER: Buena circulación la intercomunal de El Valle sentido La Bandera 12:27 #TrafficCenter,1,0,0,
"Cota Mil con buen tránsito entre El Marqués y La Castellana, ambos sentidos. 12:32 p. m.",1,0,0,
La Red Baruteña de Emprendimiento celebra su XII Encuentro en @lacatolica UCAB #BarutaEmprende http://t.co/RuTEyjS33K,0,0,,
RT @TuSaludVascular: Sin inconvenientes la Av. Ppal de Macaracuay en ambas direcciones 12:30,1,0,0,
via @nadielaconoche:  Las colas en el Bicentenario Plaza Vzlaezuela ahora se ESCONDEN en el estacionamiento (Foto) http://t.co/nzdGB7UzTF,0,0,,
"RT @ManuelGGM: Protestan por inseguridad,",0,0,,
Hallan muerto al estudiante Julio Ávila (24) acuchillado dentro de la UNEXPO en Caracas http://t.…,0,0,,
"via @nadielaconoche:  Acción ContraFarmatodo x las Colas, pero en Su Red Dmercados hay y Hoy la Escondieron EN Sótano http://t.co/A3KWYvBJRA",0,0,,
¡Ya comienza la cuenta regresiva para la competencia!  http://t.co/xcCUmlYX6h,0,0,,
RT @FMCENTER: Sin inconvenientes la Av. Río de Janeiro en ambos sentidos 12:39 #TrafficCenter,1,0,0,
Cota Mil con buena marcha en todo el recorrido y en ambas direcciones. 12:46 p. m.,1,0,0,
RT @FMCENTER: Despajada la autopista Prados del Este sentido centro 12:38 #TrafficCenter,1,0,0,
RT @zona925fm: #TraficZona 12:49pm Sin inconvenientes la Av. Ppal de Macaracuay en ambas direcciones,1,0,0,
Taller Intensivo de Tango,0,0,,
Inscríbete y aprende más sobre esta sugerente danza,0,0,,
Costo e información: en la Dirección de Cultura,0,0,,
@victoria1039fm (1:03 pm) &gt;&gt; Los tramos #Miranda y #Aragua sin contratiempos en ambos sentidos #InfoVial,1,0,0,
