via @meru2406:  @yikyo quise decir la mafia es en todos lados uno sale y la misma gente compran y compran y uno se qda es loco de verdad,0,0,
"RT ""@potenzax:  Av. Libertador frente a Centro Sambil despejado en ambos sentidos. 1:25 pm""",1,0,0
"via @Chechipon23: Muy bien poli@chacao desarmando a motorizado (alzado) en esquina vivero de Country, basta de armas y malandros  sin placa",0,0,
Paga el impuesto anual de vehículos en Baruta antes del 27 de febrero y disfrutarás de un 10% de descuento http://t.co/Vcp8l4TFF4,0,0,
Los mejores precios en impresiones y copias los tienes en tu @ProveUsb.,0,0,
El segundo día de agosto de 1922 murió Alexander Graham Bell. La red telefónica de EEUU se cerró entonces durante un minuto como homenaje.,0,0,
via @yikyo: 2 potes de leche por persona y los GN llevan 10 cajas escoltadas hasta un camion a las afueras de la cascada #Miranda,0,0,
RT @potenzax:  Av. Libertador frente a Centro Sambil despejado en ambos sentidos. 1:25 pm,1,0,0
"via @LosTequesGuia: Basura quemada en la Av. Bolívar frente a Liceo Miranda, precaución conductores.  #DonaTusMedicamentos",0,0,
￼“Los Hermanos Llegaron Ya” y llegaron a la #USBve. Adquiere en la Dirección de Cultura tus entradas para ver a los Hermanos Naturales,0,0,
"#Tipstraffic Evite: Contenido ofensivo, agresivo, lenguaje soez, procaz, así como atentar contra las leyes, la moral y las buenas costumbres",0,0,
Vía @yorelislopez la cola en Tazón hacia Charallave  no se saben las causas. Por favor informar quien sepa algo.,1,1,1
Vía @potenzax Av. Libertador frente a Centro Sambil despejado en ambos sentidos. 1:25 pm.,1,0,0
Vía @ServicioVialFM Maracay: Distribuidor de tapa tapa sin contratiempos.,1,0,0
RT @yorelislopez: @traficovv tra cola en Tazón hacia Charallave  no se saben las causas. Por favor informar quien sepa algo,1,1,1
RT @potenzax: @traficovv Av. Libertador frente a Centro Sambil despejado en ambos sentidos. 1:25 pm,1,0,0
Vía @rutransito959 #FueraDeLaARC Encrucijada ya se encuetra sin novedad a esta hora,1,0,1
RT @bristy251108: @traficovv como esta la arc de ccs hacia maracay,0,0,
Vía @caracas1073fm los #Tramos #Miranda #Aragua y #Carabobo Con buena fluidez vehicular.,1,0,0
"#Tipstraffic Comparte info confirmada, EVITA difundir rumores, respáldate en fuentes confiables. Información objetiva, veráz y oportuna!",0,0,
Vía @victoria1039fm (1:44pm) &gt;&gt; La cola para salir de Caracas es generada por un incendio de vegetación a la altura de la Unefa.,1,1,2
Vía @Alejandroduan20 cola en la av universida. Edo aragua porque estan raspando el concreto.,1,1,2
via @CabralYudith:  tránsito pesado subiendo Tazón. :( #DonaTusMedicamentos,1,1,2
vía @ere174: #Empresa cárnica fue tomada http://t.co/A3VEHer2vm de @e7_radio,0,0,
via @ritagraterol1:  @yikyo  y leche previó por cajas son bachaqueros #PrioridadTránsito,0,0,
RT @caracas1073fm: #Miranda Incendio de vegetación a nivel del km 12 Bajada de tazón sentido #Valencia.,1,1,2
RT @Alejandroduan20: @traficovv cola en la av universida. Edo aragua porque estan raspando el concreto,1,1,2
RT @victoria1039fm: (1:44pm) &gt;&gt; La cola para salir de Caracas es generada por un incendio de vegetación a la altura de la Unefa @traficovv …,1,1,2
Vía @alexperei: Cola subida de Tazón por incendio en el cerro http://t.co/bXEACJrQy5,1,1,2
via @yikyo: personal del central madeirence la cascada sacando bultos de detergente por la puerta Ppal y lo llevan a un camion #Miranda,0,0,
RT @Sia: diarrhea.,0,0,
RT @caracas1073fm: los tramos #Aragua y #Carabobo Libre en ambos sentidos.,1,0,0
A las 14:00 Pronóstico: Aumento de nubes y más caliente. Posible precipitación en las próximas 12 a 24 horas. Viento.,0,0,
"A las 14:00 Temperatura: 24.4 °C, Pluviosidad: 0.0 mm/h, Lluvia del día: 0.0 mm, Presión: 1020.8 mb ↓",0,0,
"RT @megalomaniacko: Pobre Universidad de Chile, fundada por Andrés Bello, número 52 del mundo y número 1 del Latinoamérica.",0,0,
La Red Baruteña de Emprendimiento celebra su XII Encuentro en @lacatolica UCAB #BarutaEmprende http://t.co/gGqR5eaAMY,0,0,
RT @Loisinet: Así está #cotamil sentido Este desde Altamira #3F 1:49 http://t.co/BUFlBII4jx,1,0,1
¡Ven y comete un delicioso brownie con helado en tu Sala de Producción! http://t.co/9HYJgfN9rY,0,0,
