via @KiomyAlejandra: Cola en la valle coche direccion la rinconada :29 pm alguien sabe xq?  @traffiCARACAS #PrioridadTránsito,1,1
"RT @elazzeri54:  amigos que esta pasando subiendo hacia la universidad sta maria y fila de mariches? a esta hora 11,52 no hay pasooooooooo",1,2
via @cesarLMK_R: #AGMA sin inconvenientes sentido caracas  #Miranda,1,0
RT @MetroMaracaibo_: 8:06 am. La estación El Guayabal con alta afluencia de pasajeros @traficovv http://t.co/HeCVE4yg6h,0,
Vía @FMCENTER Despejada la Cota Mil de El Marqués a Boleita.,1,0
via @Arnaldo_Andre21: @traffiCARACAS .     @trafficVALENCIA La #ARC en sus tramos #Miranda #Aragua y #Carabobo Se mantiene libre en ambos s,1,0
RT @LissDR: Lo mismo d siempre: protestas en Chacao a la altura del metro y por el Sambil todo normal. Ni se dan por enterados #VuelveElPer…,0,
Vía @NievesFarid chacao bien buena circulacion http://t.co/tWx3bzqaeU,1,0
"RT @rutransito959: #Arc #Carabobo
Km 133 Al pasar la Polar camión volcado genera cola S/#Valencia",1,2
vía @paramedicosmtt:  @paramedicosmtt atienden accidente #AFF sentido Oeste altura Los Ruices #Precaución http://t.co/he58JpTI4d  8:47am,1,2
RT @vortizing: Sigue la gandola volcada en Tazón y aunque la cola empieza en el km 10 vía Coche se supera relativamente rápido @traficovv,1,2
via @elportuu1047: AGMA con lentitud pasando mampote primera bomba hasta el primer sobre ancho sin novedad  @traffiCARACAS  #Miranda,1,1
"RT @culturasucre: #Atención 
Restricción de transito
Por desfile de comparsas en El Bulevar La Carlota Jue12 3pm-3:30pm",1,2
"#ARC tramo #Aragua km76 sentido #CCS colisión simple que genera leve retraso , autoridades en el sitio 7:46am",1,1
Vía @tiorafm Buena Circulación en el Km 17 de la #PNM sentido #SAA en dirección contraria cola leve. http://t.co/7wa0gLfT1m,1,1
RT @juancarlosalejo: Av.Sanz 1725 S&gt;SUR con EXCELENTE TRÁNSITO hasta el parque y más allá,1,0
"(((*****[[HORA PICO]]*****))) 

☞A Esta Hora La Prioridad☜

*****ES EL REPORTE*****

*Modo Prioridad Tránsito* http://t.co/hA2NXGlXvn",0,
