"RT @willroj #PNM, en estos momentos colas desde el Km 3, sentido #SAA, sin mayor información al respecto.6:30pm",1,2,,
"RT @willroj #PNM 2 accidentados,uno antes del Km 5 y otro en el Km 8, a partir del 9 fuerte cola y retraso para ir a #SAA y #LTQS 6:39pm",1,2,,
via @siby14: Rull Cola PDE sentido sur dsd antes de las Mercedes #Miranda,1,2,,
via @oidodelosvalles: GANDOLA chocada antes de la bajada de tazón container bloqueando 2 canales sentido Ccs @traffiCARACAS #Miranda,1,2,,
RT @johapvillegas: que pasa en la av Rio de Janeiro que prácticamente no avanza desde Macaracuay sentido Chuao? 8:57 am,1,2,,
via @TuGPSRadio: #PNM entre los #Teques y el km 0 sin retrasos. Afluencia vehicular normal. #TercerCanal funcionando sin novedad 525am,1,0,,
vía @Luis24Palacios: Lenta la #PNM llegando al Km 0 / viceversa muy bien! 8:44am https://t.co/b5FndUi87L,1,1,,
RT @traffiCARACAS: via @newscapitalweb: Lenta la Autopista Francisco Fajardo de Los Caobos a Parque Central 4:21 #Caracas,1,1,,
RT @FMCENTER: Despejada la pendiente de Los Naranjos en ambos sentidos 5:29 #TrafficCenter,1,0,,
via @ERICK1126: Cola casi detenida guatire bajando hacia el dist quemaito mala opcion para salir a esta hora! #Miranda,1,2,,
RT @MaquinaDelAire: Poca afluencia de vehículos en #PDE vía La Trinidad 4:07pm,1,0,,
Vía @FMCENTER Buen tránsito en la Av. principal de Macaracuay en ambos sentidos.,1,0,,
"via @VerdyElias: la autopista GMA con fuerte retraso, por están tumbado los kiosko, y hay un accidente bajando también... #Miranda",1,2,,
via @kyjgv: @traffiCARACAS @trafficARC ahora calarse 20 minutos de cola en valle coche que ya esta congestionada. 6:29am #Miranda,1,2,,
vía @raynate27: Ccs Lg sin inconvenientes en ambos sentidos en algunos sectores con leves retardos por trafico,1,0,,
"via @mieoviemar: Incendio en terreno adyacente a Farmatodo, Guarenas. Bomberos llegando. Afecta un poco la circulación en la Av. #Miranda",1,1,,
"Valle–Coche con cola desde Longaray hasta el Dist. El Pulpo.
 10:40 a. m.",1,1,,
vía @_joelgonzalez22: cola a la altura de montalban por estos tres carros accidentados https://t.co/DlDEhxkadp,1,2,,
via @jcarrasco74: @traffiCARACAS carro (((VOLCADO))) subiendo la PMNA. En el km2 #PrioridadTránsito,1,2,,
"vía @willroj: Recomendable no tomar la vía de escape por el #Hipódromo,para iur a la #VC en estos momentos tranca total 9:13am",1,2,,
Vía @IsabelMunozN Fuerte retención vehicular en la encrucijada.,1,2,,
RT @cbgi79: cola Cota mil. Vía Este desde San Bernardino harta la castellana.,1,1,,
via @giannilisciani: motoriz caido. Pasando ENCAVA PNM sentido SA. Autoridades ya en sitio 3.30 PM #PrioridadTránsito,1,2,,
RT @josyfernandez: Ambos canales del elevado estarán habilitados sentido redoma de #SAA @TrafficVCoche @traficovv,1,0,,
Vía @Luis24Palacios Persiste dañado el semáforo de la Teresa de la Parra intersección con la Simón Planas. http://t.co/QKtVb2bs0B,1,1,,
vía @djabellou: en #VC d los estadios en plaza vzla a #AGMA #PNM km0 transito fluido,1,0,,
"RT @traffiCARACAS: via @oscartwitt07: Cola en autopista VC, sentido O-E dsd la curva de Las Mayas hasta Plaza Vzlaezuela 11:01am #Priorida…",1,1,,
via @Porlasvias: @icebella84 @traffiCARACAS @c_adelis @analacruz Si hay leve retraso pero en distribuidor metropolitano #Miranda,1,1,,
via @tiorafm: #Tráfico Perimetral de #SAA con retraso a nivel del picacho. (:40pm) #PrioridadTránsito,1,1,,
Vía @MaquinaDelAire Bien la Principal de Bello Monte.,1,0,,
vía @MaquinaDelAire: #Autopista Valles del Tuy a buena marcha en #AmbosSentidos 11:58am,1,0,,
via @milvera: como esta la vía Caracas Guarenas? Hay cola bajando? #DonaTusMedicamentos,1,1,,
