acaba,acabo
acaban,acabo
las acacias,acacias
accesos,acceso
rampa de acceso,acceso
accidentados,accidentado
las adjuntas,adjuntas
adj,adjuntas
ff,francisco fajardo
aff,francisco fajardo
autopista francisco fajardo,francisco fajardo
fajardo,francisco fajardo
autopff,francisco fajardo
alt,altamira
nivel,altura
cuidado,alerta
peligro,alerta
atencion,alerta
atención,alerta
ambos sentidos,ambos
ambossentidos,ambos
ambasdirecciones,ambos
anz,Anzoategui
alternas,alterna
arc,regional del centro
autopista regional del centro,regional del centro
atascado,atasco
atascados,atasco
atascada,atasco
atracadores,atracador
atracarlas,atracador
autobus,auto
autobuses,auto
autobusete,auto
buseta,auto
camión,auto
gandola,auto
camioncito,auto
camiones,auto
camioneteros,auto
pick up,auto
autopistas,autopista
autop,autopista
autoridades,autoridad
avance,avanzando
avanzan,avanzando
avanzar,avanzando
av,avenida
ave,avenida
avlibertador,avenida libertador
libertador,avenida libertador
avohiggins,avenida o'higgins
o'higgins,avenida o'higgins
avnvagranda,avenida nueva granada
nvagranda,avenida nueva granada
avlecuna,avenida lecuna
lecuna,avenida lecuna
avfcodemiranda,avenida francisco de miranda
francisco de miranda,avenida francisco de miranda
fco,avenida francisco de miranda
fm,avenida francisco de miranda
avpanteon,avenida panteon
la panteon,avenida panteon
avsucre,avenida sucre
avuniversidad,avenida universidad
avurdaneta,avenida urdaneta
la urdaneta,avenida urdaneta
ayudar,ayuda
ayudando,ayuda
bajando,baja
bajada,baja
bajan,baja
la bandera,bandera
baral,baralt
bqto,barquisimeto
barqusimeto,barquisimeto
brt,baruta
boleíta,boleita
bolívar,bolivar
boyaca,avenida boyaca
boyacá,avenida boyaca
cotamil,avenida boyaca
cmil,avenida boyaca
cotamil,avenida boyaca
cota,avenida boyaca
bulevar,boulevar
blv,boulevar
bvard,boulevar
cafetal,el cafetal
cafetales,el cafetal
caf,el cafetal
calles,calle
cll,calle
campits,campitos
cct,ccct
camiones,auto
cbb,carabobo
carac,caracas
ccs,caracas
ccas,caracas
cc,centro comercial
ceerado,cerrada
cerradas,cerrada
cerrados,cerrada
cierre,cerrada
charallavecua,charallave
choques,choque
colisión,choque
colision,choque
accidente,choque
accidnt,choque
choca,choque
chocada,choque
chocaron,choque
choq,choque
circunvalación,circunvalacion
circulación,circulacion
circular,circulacion
circula,circulacion
colas,cola
colotas,cola
colita,cola
colapsado,colapsada
colapsados,colapsada
colafuerte,colapsada
colisición,choque
colisiona,choque
complica,complicada
complicaciones,complicada
complicada,complicada
complicado,complicada
complicaiones,complicada
complicando,complicada
complico,complicada
conductores,conductor
congestionada,congestion
congestionado,congestion
congestión,congestion
congestionamiento,congestion
conjestionada,congestion
country,country club
demolición,demolicion
demoliciones,demolicion
demoliendo,demolicion
demoler,demolicion
despejado,despejada
depejada,despejada
después,despues
detenido,detenida
detenidos,detenida
detenidas,detenida
distr,distribuidor
distrb,distribuidor
distrib,distribuidor
distribu,distribuidor
dstribuidor,distribuidor
dirrección,direccion
dir,direccion
direcciones,direccion
dirección,direccion
distribuidos metropolitano,distribuidor metropolitano
metropolitano,distribuidor metropolitano
dmetropolitano,distribuidor metropolitano
encunetado,encunetada
encunetamiento,encunetada
exelente,excelente
excelete,excelente
evitarla,evitar
eviten,evitar
filasdemariche,filas de mariche
fluido,fluida
fluidez,fluida
fluye,fluida
ganadola,auto
gandola,auto
gma,autopista gran mariscal ayacucho
guarena,guarenas
hombri,hombrillo
huecos,hueco
incorporación,incoporarse
incorporacion,incoporarse
incorporarse,incoporarse
incoporase,incoporarse
iut,iutrc
rio,rio de janeiro
janeiro,rio de janeiro
llueve,lluvia
lluvias,lluvia
lloviznando,lluvia
llovizna,lluvia
maripérez,mariperez
mariche,mariches
mejorando,mejorar
mejora,mejorar
mejorando,mejorar
mejor,mejorar
motoriz,motorizado
motorizados,motorizado
moderada,moderado
moderad,moderado
mapote,mampote
manifestación,manifestacion
manifestantes,manifestacion
manifestaciones,manifestacion
mcy,maracay
oe,oeste
e,este
parados,parada
parado,parada
pequeño,pequeña
pequeñas,pequeña
pequeños,pequeña
precaución,precaucion
precauciones,precaucion
precau,precaucion
precauci,precaucion
prec,precaucion
problemas,problema
ppal,avenida principal
ppl,avenida principal
avppal,avenida principal
ppla,avenida principal
hdlp,hoyo de la puerta
hdp,hoyo de la puerta
redoma hoyo de la puerta,hoyo de la puerta
recomendación,recomendacion
recomendable,recomendacion
recomendamos,recomendacion
recomienda,recomendacion
